city_id,city_name,city_type,city_centre_lat,city_centre_lon,main_station_lat,main_station_lon,stop_id,stop_name,stop_lat,stop_lon
berlin,Berlin,Metropole,52.5170365,13.3888599,52.5246361,13.369861,de:11000:900003201,S+U Berlin Hauptbahnhof,52.525605,13.369075
potsdam,Potsdam,Oberzentrum,52.4009309,13.0591397,52.3915165,13.0672235,de:12054:900230999,S Potsdam Hauptbahnhof,52.391663,13.066172
brandenburg-a-d-havel,Brandenburg a. d. Havel,Oberzentrum,52.4108261,12.5497933,52.4008975,12.566181328179445,de:12051:900275110,"Brandenburg, Hauptbahnhof",52.400794,12.566036
cottbus,Cottbus,Oberzentrum,51.7567447,14.3357307,51.7512991,14.3223077,de:12052:900470000,"Cottbus, Hauptbahnhof",51.750985,14.324464
frankfurt-oder,Frankfurt (Oder),Oberzentrum,52.3412273,14.549452,52.3365359,14.5466945,de:12053:900360000,"Frankfurt (Oder), Bahnhof",52.336709,14.547147
angermünde,Angermünde,Mittelzentrum,53.017276,13.9981503,53.0158331,13.9959905,de:12073:900340004,"Angermünde, Bahnhof",53.015822,13.995871
bad-belzig,Bad Belzig,Mittelzentrum,52.1405622,12.5865873,52.1360071,12.5950321,de:12069:900220143,"Bad Belzig, Bahnhof",52.136259,12.59523
bad-freienwalde-oder,Bad Freienwalde (Oder),Mittelzentrum,52.787521,14.0300689,52.789474,14.0369184,de:12064:900321025_G,"Bad Freienwalde, Bahnhof",52.789925,14.035805
beeskow,Beeskow,Mittelzentrum,52.1721569,14.2471058,52.1776785,14.2509113,de:12067:900311129,"Beeskow, Bahnhof",52.177662,14.250828
eberswalde,Eberswalde,Mittelzentrum,52.8350807,13.7996542,52.8340052,13.7977826,de:12060:900350127,"Eberswalde, Hauptbahnhof",52.833684,13.79695
eisenhüttenstadt,Eisenhüttenstadt,Mittelzentrum,52.1448863,14.6294413,52.1479787,14.6583612,de:12067:900311307,"Eisenhüttenstadt, Bahnhof",52.147803,14.658326
finsterwalde,Finsterwalde,Mittelzentrum,51.6315282,13.707358,51.6369946,13.710383,de:12062:900415005,"Finsterwalde, Bahnhof",51.636966,13.710318
forst-lausitz,Forst (Lausitz),Mittelzentrum,51.7438586,14.6455395,51.7389354,14.637064,de:12071:900445010,"Forst, Bahnhof",51.739249,14.63764
fürstenwalde-spree,Fürstenwalde/Spree,Mittelzentrum,52.3580209,14.064985,52.3671912,14.0584217,de:12067:900310001,"Fürstenwalde, Bahnhof",52.367029,14.059618
guben,Guben,Mittelzentrum,51.9503235,14.7153567,51.9590817,14.7067478,de:12071:900445593,"Guben, Bahnhof",51.957654,14.707037
herzberg-elster,Herzberg (Elster),Mittelzentrum,51.6924078,13.2358585,51.6794431,13.2028483,de:12062:900415683,"Herzberg (Elster), Bahnhof",51.679587,13.203034
jüterbog,Jüterbog,Mittelzentrum,51.9916493,13.0801128,51.9974208,13.0540462,de:12072:900245002,"Jüterbog, Bahnhof",51.997564,13.054871
kyritz,Kyritz,Mittelzentrum,52.9430648,12.3966896,52.9424017,12.3909777,de:12068:900205139,"Kyritz, Bahnhof",52.942188,12.391295
lübben-spreewald,Lübben (Spreewald),Mittelzentrum,51.9418987,13.8963805,51.940029,13.8765309,de:12061:900261512,"Lübben, Bahnhof",51.940723,13.876924
lübbenau-spreewald,Lübbenau (Spreewald),Mittelzentrum,51.8680114,13.9689477,51.8620528,13.9611658,de:12066:900435602,"Lübbenau, Bahnhof",51.862114,13.962173
luckau,Luckau,Mittelzentrum,51.8524163,13.7150055,51.85772675,13.713958480913371,de:12061:900261567::2,"Luckau, Karl-Marx-Str.",51.852957,13.706848
luckenwalde,Luckenwalde,Mittelzentrum,52.0902045,13.1741882,52.0904426,13.1601561,de:12072:900245016_G,"Luckenwalde, Bahnhof",52.090382,13.160108
nauen,Nauen,Mittelzentrum,52.6061065,12.8772599,52.6127314,12.8855858,de:12063:900210005,"Nauen, Bahnhof",52.612335,12.885156
neuruppin,Neuruppin,Mittelzentrum,52.9243859,12.8092919,52.9298674,12.8102845,de:12068:900205005,"Neuruppin, Rheinsberger Tor Bhf",52.929197,12.811113
prenzlau,Prenzlau,Mittelzentrum,53.3167,13.866575,53.3222738,13.8666984,de:12073:900340050,"Prenzlau, Bahnhof",53.321614,13.866558
rathenow,Rathenow,Mittelzentrum,52.6063703,12.3382259,52.5997366,12.3549984,de:12063:900210771,"Rathenow, Bahnhof",52.600158,12.354772
schwedt-oder,Schwedt (Oder),Mittelzentrum,53.0586366,14.2840858,53.0629292,14.2905039,de:12073:900341110,"Schwedt, Bahnhof",53.063044,14.290626
seelow,Seelow,Mittelzentrum,52.5318238,14.380704,52.5381729,14.3944582,de:12064:900321741_G,"Seelow, Bahnhof",52.537774,14.394425
spremberg,Spremberg,Mittelzentrum,51.5714513,14.3804302,51.5747888,14.3975494,de:12071:900446322,"Spremberg, Bahnhof",51.574724,14.396679
templin,Templin,Mittelzentrum,53.1193496,13.5005559,53.1123662,13.4915853,de:12073:900340026,"Templin, Bahnhof",53.112241,13.491377
zossen,Zossen,Mittelzentrum,52.2159073,13.4488958,52.2189728,13.4387099,de:12072:900245023,"Zossen, Bahnhof",52.218855,13.438586
elsterwerda,Elsterwerda,Funktionsteilung,51.4617032,13.5207619,51.4600093,13.5165719,de:12062:900415502,"Elsterwerda, Bahnhof",51.459803,13.516412
bad-liebenwerda,Bad Liebenwerda,Funktionsteilung,51.5158115,13.39272,51.5184186,13.4028276,de:12062:900415240,"Bad Liebenwerda, Bahnhof",51.518406,13.402704
lauchhammer,Lauchhammer,Funktionsteilung,51.4977774,13.7400618,51.4745905,13.7430024,de:12066:900435203,"Lauchhammer, Bahnhof",51.474401,13.74397
schwarzheide,Schwarzheide,Funktionsteilung,51.4862235,13.8307596,51.4786601,13.857805,de:12066:900435802,"Schwarzheide, Ost Bhf",51.473622,13.89078
perleberg,Perleberg,Funktionsteilung,53.0762716,11.8627933,53.0713207,11.8520684,de:12070:900215696,"Perleberg, Bahnhof",53.071051,11.851784
wittenberge,Wittenberge,Funktionsteilung,52.9983723,11.7507204,53.0021275,11.7628467,000000008401,"Wittenberge, Schillerstr.",52.998657,11.761917
pritzwalk,Pritzwalk,Funktionsteilung,53.1492896,12.1761903,53.145725,12.1849288,de:12070:900215723,"Pritzwalk, Bahnhof",53.146317,12.183883
wittstock-dosse,Wittstock (Dosse),Funktionsteilung,53.162999,12.4868962,53.1604863,12.4792939,de:12068:900205617,"Wittstock (Dosse), Bahnhof",53.161,12.478524
senftenberg,Senftenberg,Funktionsteilung,51.5191742,14.0046541,51.5270113,14.0036375,de:12066:900435000,"Senftenberg, Bahnhof",51.52679,14.003977
großräschen,Großräschen,Funktionsteilung,51.5883265,14.0123136,51.5915009,14.0149771,de:12066:900435339,"Großräschen, Bahnhof",51.591486,14.014993
zehdenick,Zehdenick,Funktionsteilung,52.9794838,13.3348959,52.9792998,13.3174151,de:12065:900203853,"Zehdenick, Bahnhof",52.979222,13.317908
